"interaction","name","nij","score","selected","shared interaction","shared name"
"interacts with","Albania (interacts with) Greece","1","0.8778054862842892","false","interacts with","Albania (interacts with) Greece"
"interacts with","Albania (interacts with) Slovenia","1","0.9457364341085271","false","interacts with","Albania (interacts with) Slovenia"
"interacts with","Bosnia and Herzegovina (interacts with) Slovenia","1","0.9233716475095786","false","interacts with","Bosnia and Herzegovina (interacts with) Slovenia"
"interacts with","Montenegro (interacts with) Slovenia","1","0.916030534351145","false","interacts with","Montenegro (interacts with) Slovenia"
"interacts with","North Macedonia (interacts with) Slovenia","1","0.9015151515151515","false","interacts with","North Macedonia (interacts with) Slovenia"
"interacts with","Greece (interacts with) Albania","1","0.8778054862842892","false","interacts with","Greece (interacts with) Albania"
"interacts with","Slovenia (interacts with) Albania","1","0.9457364341085271","false","interacts with","Slovenia (interacts with) Albania"
"interacts with","Croatia (interacts with) Bosnia and Herzegovina","1","0.8951342281879194","false","interacts with","Croatia (interacts with) Bosnia and Herzegovina"
"interacts with","Serbia (interacts with) Bosnia and Herzegovina","1","0.8832847019591497","false","interacts with","Serbia (interacts with) Bosnia and Herzegovina"
"interacts with","Slovenia (interacts with) Bosnia and Herzegovina","1","0.9233716475095786","false","interacts with","Slovenia (interacts with) Bosnia and Herzegovina"
"interacts with","Bosnia and Herzegovina (interacts with) Croatia","1","0.8951342281879194","false","interacts with","Bosnia and Herzegovina (interacts with) Croatia"
"interacts with","Slovenia (interacts with) North Macedonia","1","0.9015151515151515","false","interacts with","Slovenia (interacts with) North Macedonia"
"interacts with","Slovenia (interacts with) Montenegro","1","0.916030534351145","false","interacts with","Slovenia (interacts with) Montenegro"
"interacts with","Bosnia and Herzegovina (interacts with) Serbia","1","0.8832847019591497","false","interacts with","Bosnia and Herzegovina (interacts with) Serbia"
